xt,yt,xf,yf
0.000775,0.9730908952119214,1033.548655969994,(-0.5641833497974886-0.000738535063203101j)
0.0007875,0.8030474113740046,1050.2187955824131,(4.952635340921274e-06-1.1351052436967685e-08j)
0.0008,0.04141264660962594,1066.8889351948324,(-1.906123888897887e-05-7.171814318057466e-08j)
0.0008125,-0.7711795385503245,1083.5590748072516,(-1.5904297337744936e-05-7.463735696105997e-08j)
0.000825,-0.9685340315953525,1100.2292144196708,(-1.2042944846587557e-05-7.069360325623488e-08j)
0.0008375,-0.3313794725569947,1116.89935403209,(-9.146917761141196e-06-6.614988559889602e-08j)
0.00085,0.6174027536315709,1133.5694936445093,(-7.065256914383025e-06-6.213228379293159e-08j)
0.0008625,0.9907347275146573,1150.2396332569285,(-5.55012307853914e-06-5.876505147012926e-08j)
0.000875,0.3823629502188128,1166.909772869348,(-4.4213860912467595e-06-5.599101588187744e-08j)
0.0008875,-0.6300668612944875,1183.5799124817672,(-3.5597167800105467e-06-5.371750769894712e-08j)
0.0009,-0.9810011668150342,1200.2500520941865,(-2.886504571364412e-06-5.1857088115037835e-08j)
0.0009125,-0.2549693478921055,1216.9201917066057,(-2.349160594050659e-06-5.032976473258455e-08j)
0.000925,0.7639177212565041,1233.590331319025,(-1.91163262575067e-06-4.908217680291843e-08j)
0.0009375,0.9020973989119199,1250.2604709314442,(-1.5487402388954008e-06-4.8084562577017925e-08j)
0.00095,-0.027176324810712825,1266.9306105438634,(-1.2423841361544846e-06-4.726337163558098e-08j)
0.0009625,-0.9294525999850405,1283.6007501562826,(-9.793910360842082e-07-4.6639993523986467e-08j)
0.000975,-0.7062898966415719,1300.2708897687019,(-7.498728808820994e-07-4.614970689477169e-08j)
0.0009875,0.3815884791448984,1316.941029381121,(-5.463261282686891e-07-4.580446967543896e-08j)
0.001,0.9985321973526874,1333.6111689935406,(-3.6292106315164623e-07-4.5573297685598896e-08j)
0.0010125,0.38158847914489635,1350.2813086059598,(-1.950303726897765e-07-4.545763606146313e-08j)
0.001025,-0.7062898966415735,1366.951448218379,(-3.890269073547614e-08-4.5443752622054134e-08j)
0.0010375,-0.9294525999850423,1383.6215878307983,(1.0855844045920549e-07-4.5521743055609853e-08j)
0.00105,-0.027176324810717724,1400.2917274432175,(2.4998876746451515e-07-4.569609577500663e-08j)
0.0010625,0.9020973989119178,1416.9618670556367,(3.8770945964827774e-07-4.5958589600658684e-08j)
